Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|                     sell_profit_w_4_9 ( 23 ) |       1 |      1     0     0   100 |           4.18 |           4.18 |            15.952 |           0.84 |
|                         sell_long_t_0 ( 34 ) |       1 |      1     0     0   100 |           0.6  |           0.6  |             2.252 |           0.12 |
|                     sell_profit_t_1_6 ( 19 ) |       1 |      1     0     0   100 |           1.39 |           1.39 |             5.182 |           0.28 |
|                sell_profit_u_bear_1_1 ( 18 ) |       1 |      1     0     0   100 |           1.15 |           1.15 |             4.252 |           0.23 |
|                     sell_profit_w_2_1 ( 16 ) |       1 |      1     0     0   100 |           2.78 |           2.78 |            10.114 |           0.56 |
|                      sell_profit_w_6_9 ( 7 ) |       1 |      1     0     0   100 |           6.8  |           6.8  |            29.942 |           1.36 |
|                     sell_profit_w_2_2 ( 17 ) |       1 |      1     0     0   100 |           2.56 |           2.56 |            11.856 |           0.51 |
|                     sell_profit_t_1_4 ( 38 ) |       1 |      1     0     0   100 |           1.45 |           1.45 |             6.784 |           0.29 |
|                   sell_stoploss_u_e_1 ( 22 ) |       1 |      0     0     1     0 |          -7.1  |          -7.1  |           -33.038 |          -1.42 |
|     sell_profit_u_bear_1_1 ( 11 33 101 102 ) |       1 |      1     0     0   100 |           1.5  |           1.5  |             6.886 |           0.3  |
|       sell_profit_u_bear_2_1 ( 6 10 18 101 ) |       1 |      1     0     0   100 |           2.45 |           2.45 |            11.231 |           0.49 |
|                    sell_profit_t_0_1 ( 104 ) |       1 |      1     0     0   100 |           0.63 |           0.63 |             2.876 |           0.13 |
|                     sell_profit_t_1_1 ( 12 ) |       1 |      1     0     0   100 |           1.28 |           1.28 |             5.843 |           0.26 |
|                  sell_profit_w_2_9 ( 16 25 ) |       1 |      1     0     0   100 |           2.39 |           2.39 |            10.674 |           0.48 |
|                    sell_stoploss_u_e_1 ( 2 ) |       1 |      0     0     1     0 |          -7.55 |          -7.55 |           -32.94  |          -1.51 |
|                 sell_profit_u_bear_2_1 ( 1 ) |       1 |      1     0     0   100 |           2.23 |           2.23 |            10.49  |           0.45 |
|                sell_profit_u_bear_3_2 ( 26 ) |       1 |      1     0     0   100 |           3.9  |           3.9  |            17.396 |           0.78 |
|                     sell_profit_w_6_9 ( 41 ) |       1 |      1     0     0   100 |           6.78 |           6.78 |            29.841 |           1.36 |
|          sell_profit_p_bear_48_2_1_1 ( 101 ) |       1 |      1     0     0   100 |           1.02 |           1.02 |             4.42  |           0.2  |
|             sell_profit_u_bear_1_1 ( 3 105 ) |       1 |      1     0     0   100 |           1.28 |           1.28 |             5.577 |           0.26 |
|                    sell_profit_w_1_22 ( 17 ) |       1 |      1     0     0   100 |           1.53 |           1.53 |             7.438 |           0.31 |
|                     sell_profit_t_0_1 ( 37 ) |       1 |      1     0     0   100 |           0.59 |           0.59 |             2.528 |           0.12 |
|                   sell_stoploss_u_e_1 ( 24 ) |       1 |      0     0     1     0 |          -7.77 |          -7.77 |           -34.772 |          -1.55 |
|                    sell_stoploss_u_e_1 ( 5 ) |       1 |      0     0     1     0 |         -10.61 |         -10.61 |           -46.698 |          -2.12 |
|                   sell_stoploss_atr_2 ( 36 ) |       1 |      0     0     1     0 |         -14.7  |         -14.7  |           -69.744 |          -2.94 |
|                     sell_profit_t_1_1 ( 40 ) |       1 |      1     0     0   100 |           1.7  |           1.7  |             8.252 |           0.34 |
|             sell_profit_u_bear_1_1 ( 11 18 ) |       1 |      1     0     0   100 |           1.38 |           1.38 |             6.535 |           0.28 |
|                      sell_profit_t_0_1 ( 2 ) |       1 |      1     0     0   100 |           0.48 |           0.48 |             2.262 |           0.1  |
|                     sell_profit_w_3_9 ( 22 ) |       1 |      1     0     0   100 |           3.07 |           3.07 |            14.258 |           0.61 |
|          sell_profit_p_bear_48_3_1_1 ( 101 ) |       1 |      1     0     0   100 |           1.47 |           1.47 |             7.139 |           0.29 |
|               sell_profit_o_bull_1_2 ( 101 ) |       1 |      1     0     0   100 |           1.21 |           1.21 |             4.375 |           0.24 |
|                  sell_profit_w_6_1 ( 16 25 ) |       1 |      1     0     0   100 |           6.34 |           6.34 |            29.21  |           1.27 |
|                   sell_stoploss_u_e_1 ( 43 ) |       1 |      0     0     1     0 |          -6.24 |          -6.24 |           -28.647 |          -1.25 |
|                  sell_profit_t_0_5 ( 11 26 ) |       1 |      1     0     0   100 |           0.85 |           0.85 |             3.902 |           0.17 |
|                    sell_profit_t_0_3 ( 101 ) |       1 |      1     0     0   100 |           1.05 |           1.05 |             5.173 |           0.21 |
|                     sell_profit_t_1_6 ( 10 ) |       1 |      1     0     0   100 |           1.63 |           1.63 |             7.469 |           0.33 |
|                    sell_profit_w_2_17 ( 16 ) |       1 |      1     0     0   100 |           2.03 |           2.03 |             9.393 |           0.41 |
|                    sell_signal_3_1_1 ( 105 ) |       1 |      1     0     0   100 |           1.79 |           1.79 |             6.09  |           0.36 |
|               sell_profit_u_bear_1_2 ( 101 ) |       1 |      1     0     0   100 |           1.07 |           1.07 |             3.839 |           0.21 |
|                  sell_stoploss_atr_3 ( 101 ) |       1 |      0     0     1     0 |         -19.87 |         -19.87 |           -57.738 |          -3.97 |
|               sell_profit_u_bear_2_1 ( 103 ) |       1 |      1     0     0   100 |           2.26 |           2.26 |             6.477 |           0.45 |
|                      sell_profit_w_2_4 ( 2 ) |       1 |      1     0     0   100 |           2.39 |           2.39 |             6.704 |           0.48 |
|                 sell_profit_t_0_1 ( 101 38 ) |       1 |      1     0     0   100 |           0.78 |           0.78 |             2.167 |           0.16 |
|                    sell_profit_w_5_2 ( 101 ) |       1 |      1     0     0   100 |           5.43 |           5.43 |            15.081 |           1.09 |
|                     sell_profit_t_0_2 ( 18 ) |       1 |      1     0     0   100 |           0.25 |           0.25 |             0.685 |           0.05 |
|          sell_profit_t_2_1 ( 101 103 37 40 ) |       1 |      1     0     0   100 |           2.19 |           2.19 |             6.046 |           0.44 |
|                    sell_profit_w_7_2 ( 101 ) |       1 |      1     0     0   100 |           7.8  |           7.8  |            21.046 |           1.56 |
|                    sell_profit_t_3_4 ( 101 ) |       1 |      1     0     0   100 |           3.64 |           3.64 |             9.724 |           0.73 |
|                sell_profit_o_bull_9_2 ( 38 ) |       1 |      1     0     0   100 |           9.7  |           9.7  |            25.458 |           1.94 |
|             sell_profit_u_bear_2_1 ( 32 41 ) |       1 |      1     0     0   100 |           2.04 |           2.04 |             5.301 |           0.41 |
|               sell_profit_u_bear_1_1 ( 102 ) |       1 |      1     0     0   100 |           1.53 |           1.53 |             3.973 |           0.31 |
| sell_profit_u_bear_8_1 ( 6 10 11 30 32 102 ) |       1 |      1     0     0   100 |           8.16 |           8.16 |            20.524 |           1.63 |
|           sell_profit_p_bear_36_1_1_1 ( 21 ) |       1 |      1     0     0   100 |           1.02 |           1.02 |             2.551 |           0.2  |
|                    sell_signal_2_1_1 ( 101 ) |       1 |      1     0     0   100 |           6.46 |           6.46 |            15.701 |           1.29 |
|                    sell_profit_w_5_13 ( 15 ) |       1 |      1     0     0   100 |           5.04 |           5.04 |            12.11  |           1.01 |
|                sell_profit_u_bear_1_1 ( 43 ) |       1 |      1     0     0   100 |           1.04 |           1.04 |             2.488 |           0.21 |
|                     sell_profit_w_5_9 ( 28 ) |       1 |      1     0     0   100 |           5.37 |           5.37 |            12.176 |           1.07 |
|               sell_profit_u_bear_3_1 ( 102 ) |       1 |      1     0     0   100 |           3.28 |           3.28 |             7.23  |           0.66 |
|          sell_profit_p_bear_48_2_1_1 ( 105 ) |       1 |      1     0     0   100 |           1.01 |           1.01 |             2.213 |           0.2  |
|                sell_profit_u_bear_5_2 ( 41 ) |       1 |      1     0     0   100 |           5.47 |           5.47 |            11.807 |           1.09 |
|                     sell_profit_t_2_1 ( 26 ) |       1 |      1     0     0   100 |           2.16 |           2.16 |             4.636 |           0.43 |
|                     sell_profit_t_0_1 ( 42 ) |       1 |      1     0     0   100 |           0.25 |           0.25 |             0.524 |           0.05 |
|                 sell_profit_u_bear_1_2 ( 7 ) |       1 |      1     0     0   100 |           1.41 |           1.41 |             2.981 |           0.28 |
|                sell_profit_o_bull_1_2 ( 40 ) |       1 |      1     0     0   100 |           1.36 |           1.36 |             2.84  |           0.27 |
|                    sell_profit_t_1_12 ( 42 ) |       1 |      1     0     0   100 |           1.77 |           1.77 |             3.67  |           0.35 |
|                     sell_signal_2_1_1 ( 17 ) |       1 |      1     0     0   100 |           2.31 |           2.31 |             4.697 |           0.46 |
|                     sell_profit_w_3_1 ( 25 ) |       1 |      1     0     0   100 |           3.85 |           3.85 |             7.78  |           0.77 |
|                      sell_profit_w_4_9 ( 5 ) |       1 |      1     0     0   100 |           4.39 |           4.39 |             8.756 |           0.88 |
|                    sell_profit_w_2_20 ( 42 ) |       1 |      1     0     0   100 |           2.53 |           2.53 |             5.019 |           0.51 |
|             sell_profit_u_bear_1_1 ( 10 42 ) |       1 |      1     0     0   100 |           1.17 |           1.17 |             3.4   |           0.23 |
|              sell_profit_t_1_1 ( 14 101 37 ) |       1 |      1     0     0   100 |           1.55 |           1.55 |             4.384 |           0.31 |
|                     sell_profit_w_3_1 ( 22 ) |       1 |      1     0     0   100 |           3.47 |           3.47 |            12.42  |           0.69 |
|                     sell_profit_t_1_6 ( 38 ) |       1 |      1     0     0   100 |           1.32 |           1.32 |             3.739 |           0.26 |
|                sell_profit_u_bear_1_2 ( 41 ) |       1 |      1     0     0   100 |           1.11 |           1.11 |             3.983 |           0.22 |
|                     sell_profit_w_2_2 ( 24 ) |       1 |      1     0     0   100 |           2.78 |           2.78 |             9.693 |           0.56 |
|          sell_profit_p_bear_48_3_2_1 ( 101 ) |       1 |      1     0     0   100 |           2.71 |           2.71 |             9.52  |           0.54 |
|                 sell_profit_o_bull_1_1 ( 5 ) |       1 |      1     0     0   100 |           1.28 |           1.28 |             4.482 |           0.26 |
|                 sell_profit_t_1_12 ( 37 40 ) |       1 |      1     0     0   100 |           1.93 |           1.93 |             6.735 |           0.39 |
|                    sell_profit_w_1_2 ( 101 ) |       1 |      1     0     0   100 |           1.84 |           1.84 |             6.214 |           0.37 |
|                     sell_profit_w_7_9 ( 41 ) |       1 |      1     0     0   100 |           7.78 |           7.78 |            26.305 |           1.56 |
|                   sell_profit_t_4_1 ( 1 32 ) |       1 |      1     0     0   100 |           4.28 |           4.28 |            14.546 |           0.86 |
|                      sell_profit_t_2_6 ( 4 ) |       1 |      1     0     0   100 |           2.41 |           2.41 |             8.173 |           0.48 |
|           sell_profit_p_bear_48_2_2_1 ( 41 ) |       1 |      1     0     0   100 |           2.24 |           2.24 |             7.551 |           0.45 |
|                    sell_profit_t_1_4 ( 101 ) |       1 |      1     0     0   100 |           1.93 |           1.93 |             6.246 |           0.39 |
|                 sell_signal_1_1_1 ( 27 101 ) |       1 |      1     0     0   100 |           3.25 |           3.25 |            10.434 |           0.65 |
|       sell_profit_p_bear_48_3_3_1 ( 27 101 ) |       1 |      1     0     0   100 |           3.69 |           3.69 |            12.086 |           0.74 |
|                     sell_profit_w_3_9 ( 25 ) |       1 |      1     0     0   100 |           3.73 |           3.73 |            11.99  |           0.75 |
|                     sell_profit_t_1_2 ( 39 ) |       1 |      1     0     0   100 |           1.4  |           1.4  |             4.44  |           0.28 |
|            sell_profit_u_bear_1_1 ( 18 101 ) |       1 |      1     0     0   100 |           1.22 |           1.22 |             3.771 |           0.24 |
|                   sell_stoploss_u_e_1 ( 18 ) |       1 |      0     0     1     0 |          -8.69 |          -8.69 |           -26.013 |          -1.74 |
|                     sell_profit_t_1_1 ( 37 ) |       1 |      1     0     0   100 |           1.47 |           1.47 |             4.585 |           0.29 |
|                      sell_profit_w_5_9 ( 8 ) |       1 |      1     0     0   100 |           5.9  |           5.9  |            18.109 |           1.18 |
|                sell_profit_t_0_2 ( 6 10 26 ) |       1 |      1     0     0   100 |           0.91 |           0.91 |             2.757 |           0.18 |
|                  sell_profit_t_1_2 ( 26 37 ) |       1 |      1     0     0   100 |           1.29 |           1.29 |             3.877 |           0.26 |
|          sell_profit_p_bear_48_2_2_1 ( 101 ) |       1 |      1     0     0   100 |           2.4  |           2.4  |             7.232 |           0.48 |
|             sell_profit_u_bear_1_1 ( 10 18 ) |       1 |      1     0     0   100 |           1.37 |           1.37 |             4.115 |           0.27 |
|                   sell_profit_t_1_11 ( 101 ) |       1 |      1     0     0   100 |           1.27 |           1.27 |             3.788 |           0.25 |
|        sell_profit_p_bear_48_3_1_1 ( 5 104 ) |       1 |      1     0     0   100 |           1.08 |           1.08 |             3.259 |           0.22 |
|                     sell_profit_t_4_2 ( 26 ) |       1 |      1     0     0   100 |           4.32 |           4.32 |            12.901 |           0.86 |
|                    sell_profit_w_4_2 ( 101 ) |       1 |      1     0     0   100 |           4.06 |           4.06 |            11.907 |           0.81 |
|                  sell_stoploss_atr_2 ( 101 ) |       1 |      0     0     1     0 |         -13.68 |         -13.68 |           -38.945 |          -2.74 |
|                      sell_signal_2_1_1 ( 2 ) |       1 |      1     0     0   100 |           1.74 |           1.74 |             5.072 |           0.35 |
|                                   force_sell |       1 |      0     0     1     0 |         -15.91 |         -15.91 |           -79.822 |          -3.18 |
======================================================= LEFT OPEN TRADES REPORT =======================================================
|     Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|----------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| ZEN/USDT |      1 |         -15.91 |         -15.91 |           -79.822 |          -7.98 |       13:55:00 |     0     0     1     0 |
|    TOTAL |      1 |         -15.91 |         -15.91 |           -79.822 |          -7.98 |       13:55:00 |     0     0     1     0 |
======================== DAY BREAKDOWN =========================
|        Day |   Tot Profit USDT |   Wins |   Draws |   Losses |
|------------+-------------------+--------+---------+----------|
| 01/08/2021 |             1.531 |      1 |       0 |        0 |
| 02/08/2021 |            15.245 |      3 |       0 |        0 |
| 03/08/2021 |            -7.168 |      1 |       0 |        1 |
| 04/08/2021 |             6.361 |      2 |       0 |        0 |
| 05/08/2021 |            12.047 |      2 |       0 |        0 |
| 06/08/2021 |             9.048 |      2 |       0 |        0 |
| 07/08/2021 |            14.852 |      3 |       0 |        0 |
| 08/08/2021 |            18.642 |      4 |       0 |        0 |
| 09/08/2021 |            30.709 |      5 |       0 |        0 |
| 10/08/2021 |            43.603 |      6 |       0 |        0 |
| 11/08/2021 |            55.232 |      4 |       0 |        0 |
| 12/08/2021 |            13.262 |      3 |       0 |        0 |
| 13/08/2021 |            39.644 |      3 |       0 |        0 |
| 14/08/2021 |           106.224 |     10 |       0 |        0 |
| 15/08/2021 |            42.509 |      6 |       0 |        0 |
| 16/08/2021 |            71.613 |      9 |       0 |        0 |
| 17/08/2021 |             2.499 |      4 |       0 |        1 |
| 18/08/2021 |           -47.483 |      2 |       0 |        1 |
| 19/08/2021 |            18.274 |      3 |       0 |        0 |
| 20/08/2021 |            23.219 |      2 |       0 |        0 |
| 21/08/2021 |            -4.645 |      4 |       0 |        1 |
| 22/08/2021 |            37.736 |      5 |       0 |        0 |
| 23/08/2021 |            17.521 |      2 |       0 |        0 |
| 24/08/2021 |            27.039 |     10 |       0 |        1 |
| 25/08/2021 |            72.855 |     12 |       0 |        1 |
| 26/08/2021 |            -7.08  |     11 |       0 |        1 |
| 27/08/2021 |             0     |      0 |       0 |        0 |
| 28/08/2021 |             9.142 |      1 |       0 |        0 |
| 29/08/2021 |            70.3   |      7 |       0 |        0 |
| 30/08/2021 |            38.173 |      5 |       0 |        0 |
| 31/08/2021 |             2.284 |      4 |       0 |        1 |
| 01/09/2021 |            25.017 |      3 |       0 |        0 |
| 02/09/2021 |            46.204 |      6 |       0 |        0 |
| 03/09/2021 |            24.617 |      4 |       0 |        0 |
| 04/09/2021 |             7.469 |      1 |       0 |        0 |
| 05/09/2021 |             8.785 |      1 |       0 |        0 |
| 06/09/2021 |            40.074 |      4 |       0 |        0 |
| 07/09/2021 |            95.646 |      9 |       0 |        0 |
| 08/09/2021 |            52.79  |      3 |       0 |        0 |
| 09/09/2021 |            63.752 |      5 |       0 |        0 |
| 10/09/2021 |           -10.286 |      2 |       0 |        1 |
| 11/09/2021 |            12.72  |      1 |       0 |        0 |
| 12/09/2021 |            17.106 |      3 |       0 |        1 |
| 13/09/2021 |            82.321 |      5 |       0 |        0 |
| 14/09/2021 |           -57.612 |      0 |       0 |        1 |
| 15/09/2021 |            10.036 |      1 |       0 |        0 |
| 16/09/2021 |          -105.694 |      0 |       0 |        1 |
| 17/09/2021 |             5.19  |      2 |       0 |        1 |
| 18/09/2021 |             0     |      0 |       0 |        0 |
| 19/09/2021 |             0     |      0 |       0 |        0 |
| 20/09/2021 |            53.293 |      4 |       0 |        0 |
| 21/09/2021 |            47.571 |      3 |       0 |        0 |
| 22/09/2021 |            52.65  |      5 |       0 |        0 |
| 23/09/2021 |            18.269 |      2 |       0 |        0 |
| 24/09/2021 |            89.25  |      5 |       0 |        0 |
| 25/09/2021 |             0     |      0 |       0 |        0 |
| 26/09/2021 |            24.56  |      3 |       0 |        0 |
| 27/09/2021 |             0     |      0 |       0 |        0 |
| 28/09/2021 |            11.856 |      1 |       0 |        0 |
| 29/09/2021 |             0     |      0 |       0 |        0 |
| 30/09/2021 |           -33.038 |      0 |       0 |        1 |
| 01/10/2021 |             0     |      0 |       0 |        0 |
| 02/10/2021 |             0     |      0 |       0 |        0 |
| 03/10/2021 |             0     |      0 |       0 |        0 |
| 04/10/2021 |            11.934 |      3 |       0 |        1 |
| 05/10/2021 |             0     |      0 |       0 |        0 |
| 06/10/2021 |             9.927 |      1 |       0 |        0 |
| 07/10/2021 |            23.651 |      2 |       0 |        0 |
| 08/10/2021 |            10.243 |      1 |       0 |        0 |
| 09/10/2021 |             0     |      0 |       0 |        0 |
| 10/10/2021 |            16.447 |      2 |       0 |        0 |
| 11/10/2021 |             6.535 |      1 |       0 |        0 |
| 12/10/2021 |          -132.458 |      0 |       0 |        1 |
| 13/10/2021 |           -69.744 |      0 |       0 |        1 |
| 14/10/2021 |            10.47  |      1 |       0 |        0 |
| 15/10/2021 |            55.176 |      2 |       0 |        0 |
| 16/10/2021 |             0     |      0 |       0 |        0 |
| 17/10/2021 |           -81.47  |      0 |       0 |        2 |
| 18/10/2021 |             0     |      0 |       0 |        0 |
| 19/10/2021 |             0     |      0 |       0 |        0 |
| 20/10/2021 |            35.472 |      6 |       0 |        0 |
| 21/10/2021 |            39.358 |      2 |       0 |        0 |
| 22/10/2021 |             5.515 |      2 |       0 |        1 |
| 23/10/2021 |             0     |      0 |       0 |        0 |
| 24/10/2021 |            51.644 |      3 |       0 |        0 |
| 25/10/2021 |            14.106 |      2 |       0 |        0 |
| 26/10/2021 |            34.383 |      2 |       0 |        0 |
| 27/10/2021 |           123.905 |     12 |       0 |        0 |
| 28/10/2021 |            -1.681 |      4 |       0 |        1 |
| 29/10/2021 |            -4.679 |      5 |       0 |        1 |
| 30/10/2021 |            25.697 |      2 |       0 |        0 |
| 31/10/2021 |           126.381 |     11 |       0 |        0 |
| 01/11/2021 |           -79.822 |      0 |       0 |        1 |
======================= MONTH BREAKDOWN ========================
|      Month |   Tot Profit USDT |   Wins |   Draws |   Losses |
|------------+-------------------+--------+---------+----------|
| 31/08/2021 |           733.187 |    136 |       0 |        8 |
| 30/09/2021 |           582.545 |     73 |       0 |        6 |
| 31/10/2021 |           310.813 |     64 |       0 |        8 |
| 30/11/2021 |           -79.822 |      0 |       0 |        1 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2021-08-01 00:00:00 |
| Backtesting to         | 2021-11-01 00:00:00 |
| Max open trades        | 5                   |
|                        |                     |
| Total/Daily Avg Trades | 296 / 3.22          |
| Starting balance       | 1000.000 USDT       |
| Final balance          | 2546.724 USDT       |
| Absolute profit        | 1546.724 USDT       |
| Total profit %         | 154.67%             |
| Trades per day         | 3.22                |
| Avg. daily profit %    | 1.68%               |
| Avg. stake amount      | 357.471 USDT        |
| Total trade volume     | 105811.424 USDT     |
|                        |                     |
| Best Pair              | LOCG/USDT 73.58%    |
| Worst Pair             | VELO/USDT -45.86%   |
| Best trade             | LOCG/USDT 13.44%    |
| Worst trade            | STX/USDT -27.99%    |
| Best day               | 126.381 USDT        |
| Worst day              | -132.458 USDT       |
| Days win/draw/lose     | 64 / 15 / 14        |
| Avg. Duration Winners  | 2:23:00             |
| Avg. Duration Loser    | 1 day, 9:44:00      |
| Rejected Buy signals   | 8296                |
|                        |                     |
| Min balance            | 1001.531 USDT       |
| Max balance            | 2626.545 USDT       |
| Drawdown               | 46.06%              |
| Drawdown               | 218.026 USDT        |
| Drawdown high          | 1394.469 USDT       |
| Drawdown low           | 1176.443 USDT       |
| Drawdown Start         | 2021-10-11 01:40:00 |
| Drawdown End           | 2021-10-17 17:00:00 |
| Market change          | 126.74%             |
================================================
