Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|   STMX/USDT |      1 |           3.15 |           3.15 |            12.041 |           1.20 |          4:40:00 |     1     0     0   100 |
|    KSM/USDT |      1 |           2.25 |           2.25 |            10.569 |           1.06 |          0:30:00 |     1     0     0   100 |
|  WAVES/USDT |      1 |           2.57 |           2.57 |            10.460 |           1.05 |          0:25:00 |     1     0     0   100 |
|    WIN/USDT |      1 |           2.21 |           2.21 |             9.517 |           0.95 |         22:15:00 |     1     0     0   100 |
|    MIR/USDT |      1 |           2.03 |           2.03 |             9.393 |           0.94 |         11:50:00 |     1     0     0   100 |
|   DEGO/USDT |      1 |           2.18 |           2.18 |             9.317 |           0.93 |          0:50:00 |     1     0     0   100 |
|   ATOM/USDT |      1 |           2.12 |           2.12 |             8.991 |           0.90 |          3:55:00 |     1     0     0   100 |
|    DAG/USDT |      1 |           2.87 |           2.87 |             8.923 |           0.89 |          3:25:00 |     1     0     0   100 |
|    ENJ/USDT |      1 |           1.89 |           1.89 |             8.900 |           0.89 |          0:05:00 |     1     0     0   100 |
|    GRT/USDT |      1 |           3.85 |           3.85 |             7.780 |           0.78 |          6:15:00 |     1     0     0   100 |
|    SOL/USDT |      1 |           1.91 |           1.91 |             6.416 |           0.64 |          0:10:00 |     1     0     0   100 |
|    SNX/USDT |      1 |           1.28 |           1.28 |             6.106 |           0.61 |          0:05:00 |     1     0     0   100 |
|   POLS/USDT |      1 |           1.39 |           1.39 |             5.317 |           0.53 |          7:40:00 |     1     0     0   100 |
|    VRA/USDT |      1 |           1.39 |           1.39 |             5.182 |           0.52 |          0:30:00 |     1     0     0   100 |
|    ORN/USDT |      1 |           1.04 |           1.04 |             2.488 |           0.25 |          0:20:00 |     1     0     0   100 |
|    ADA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|    AXS/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
